CELL;TIMESTAMP;LAT;LON;UPLINK;DOWNLINK;PM-KPI
fake-cell-0;2015-10-01 00:00;40.93919444444444;14.72503888888889;302186;347466;0.7348084147599582
fake-cell-1;2015-10-01 00:00;40.93919444444444;14.72503888888889;676065;424609;0.41020229294005284
fake-cell-2;2015-10-01 00:00;40.93919444444444;14.72503888888889;717713;285533;0.1994399476679053
fake-cell-3;2015-10-01 00:00;41.02344444444444;15.053902777777779;515621;133468;0.2929108242080386
fake-cell-4;2015-10-01 00:00;41.02341666666666;15.053869444444445;841152;605903;0.7773724180756766
fake-cell-5;2015-10-01 00:00;41.02344444444444;15.053852777777779;439498;616641;0.6522359042884937
fake-cell-6;2015-10-01 00:00;41.02344444444444;15.053902777777779;253424;819433;0.7198637905538867
fake-cell-7;2015-10-01 00:00;41.02344444444444;15.053852777777779;236903;777078;0.5791055468785635
fake-cell-8;2015-10-01 00:00;40.81677777777778;15.23847222222222;420500;533290;0.8412706495394634
fake-cell-9;2015-10-01 00:00;40.816750000000006;15.238519444444444;992563;848591;0.9530155572327956
fake-cell-10;2015-10-01 00:00;40.816722222222225;15.238533333333333;767010;838423;0.07796272371018131
fake-cell-11;2015-10-01 00:00;40.83127777777778;14.842450000000001;571648;394016;0.36315578137363813
fake-cell-12;2015-10-01 00:00;40.83130555555556;14.842494444444444;493136;34707;0.4306956456539198
fake-cell-13;2015-10-01 00:00;40.83127777777778;14.842491666666668;155212;785165;2.2904856257011108E-4
fake-cell-14;2015-10-01 00:00;40.90716666666667;14.799138888888889;186184;602887;0.4036314793965118
fake-cell-15;2015-10-01 00:00;40.90713888888889;14.79908611111111;675725;956128;0.21662510697142756
fake-cell-16;2015-10-01 00:00;40.90716666666667;14.7991;101086;626107;0.9487045711126714
fake-cell-17;2015-10-01 00:00;40.90716666666667;14.799138888888889;732258;630331;0.4262445551119808
fake-cell-18;2015-10-01 00:00;40.90713888888889;14.79908611111111;114838;529498;0.22578818608677298
fake-cell-19;2015-10-01 00:00;40.90716666666667;14.7991;897062;337745;0.8951511265917675
fake-cell-20;2015-10-01 00:00;40.843472222222225;15.021583333333334;985272;332786;0.1971247555805299
fake-cell-21;2015-10-01 00:00;40.84341666666667;15.021569444444445;98758;712433;0.7603628305204542
fake-cell-22;2015-10-01 00:00;40.843472222222225;15.021588888888889;682342;716001;0.18874109923757398
fake-cell-23;2015-10-01 00:00;40.93222222222222;14.878388888888889;223423;375211;0.3064754407538205
fake-cell-24;2015-10-01 00:00;40.93219444444444;14.878425;886842;704584;0.07207692549344635
fake-cell-25;2015-10-01 00:00;40.93219444444444;14.878366666666667;225315;466064;0.12844524689933634
fake-cell-26;2015-10-01 00:00;40.93219444444444;14.878366666666667;914338;497108;0.6458136416282957
fake-cell-27;2015-10-01 00:00;40.87244444444445;15.09511388888889;877738;515485;0.3137396828510006
fake-cell-28;2015-10-01 00:00;40.87244444444445;15.09511388888889;386438;179559;0.13089742051767272
fake-cell-29;2015-10-01 00:00;40.87244444444445;15.095111111111112;945955;365168;0.188198323774723
fake-cell-30;2015-10-01 00:00;41.18911111111111;15.146144444444444;555566;770907;0.43100911928053287
fake-cell-31;2015-10-01 00:00;41.18911111111111;15.14613611111111;300786;291177;0.4873289901329415
fake-cell-32;2015-10-01 00:00;40.90511111111111;14.770827777777779;584998;249855;0.9562406284281944
fake-cell-33;2015-10-01 00:00;40.905138888888885;14.770775;919913;79370;0.03839635897745908
fake-cell-34;2015-10-01 00:00;40.90511111111111;14.770838888888889;249635;689191;0.3594960505564052
fake-cell-35;2015-10-01 00:00;40.90511111111111;14.770825;587873;302847;0.16854410969563205
fake-cell-36;2015-10-01 00:00;40.90511111111111;14.770772222222224;340452;342415;0.4931426523743694
fake-cell-37;2015-10-01 00:00;40.90511111111111;14.770827777777779;574655;387062;0.09032324343479037
fake-cell-38;2015-10-01 00:00;41.069361111111114;15.063630555555557;285531;226616;0.25769567560928064
fake-cell-39;2015-10-01 00:00;41.069361111111114;15.063627777777779;83202;654408;0.4583832978026561
fake-cell-40;2015-10-01 00:00;41.06930555555556;15.063611111111111;849556;858330;0.7848278391736073
fake-cell-41;2015-10-01 00:00;40.942388888888885;14.645666666666667;961936;768830;0.139714828665504
fake-cell-42;2015-10-01 00:00;40.942388888888885;14.645713888888888;260243;603832;0.5737527253474265
fake-cell-43;2015-10-01 00:00;40.94244444444444;14.645516666666666;879038;657764;0.9947153683008536
fake-cell-44;2015-10-01 00:00;40.942388888888885;14.645713888888888;630767;358126;0.7830391453481211
fake-cell-45;2015-10-01 00:00;40.90280555555555;15.428519444444444;957087;930512;0.12748296618594201
fake-cell-46;2015-10-01 00:00;40.90280555555555;15.428469444444444;683099;110422;0.8691707414126507
fake-cell-47;2015-10-01 00:00;40.902833333333334;15.428502777777776;503769;667395;0.6311250708050823
fake-cell-48;2015-10-01 00:00;40.913333333333334;14.820475;870153;724542;0.15867378328107007
fake-cell-49;2015-10-01 00:00;41.00197222222222;14.781944444444445;700829;28182;0.3275025652769846
fake-cell-50;2015-10-01 00:00;41.002;14.781947222222223;429759;496850;0.7423931976978028
fake-cell-51;2015-10-01 00:00;41.05797222222222;15.432569444444443;95926;953150;0.3807121767671383
fake-cell-52;2015-10-01 00:00;41.058;15.432577777777777;938307;212960;0.28850510185538536
